population,temperature,sire,dam,dam.sire,tray,block,residual,additive,nonadd,maternal,trait
LO-Cisco,9.0°C,1.109903936,7.638737721,1.018700239,0.221450256,0,15.92777105,4.439615746,4.074800957,6.528833784,dpf
LO-Cisco,9.0°C,0.858200907,7.624677168,0.73872256,0.181468097,0.335168622,16.79046514,3.432803629,2.954890238,6.76647626,dpf
LO-Cisco,9.0°C,1.028319178,7.961128918,1.156358614,0.243176381,3.80E-09,16.18634578,4.113276712,4.625434455,6.93280974,dpf
LO-Cisco,9.0°C,0.878357622,7.724763334,1.108156748,0,0.391773425,16.98701645,3.513430486,4.432626993,6.846405713,dpf
LO-Cisco,9.0°C,0.586864304,8.339003207,0.883240233,0,1.47E-07,16.15838503,2.347457216,3.532960931,7.752138903,dpf
LO-Cisco,9.0°C,0.820235529,7.277654117,1.395595795,3.64E-06,0.281764522,16.02240248,3.280942114,5.582383178,6.457418589,dpf
LO-Cisco,9.0°C,1.042237066,7.391612384,0.835314879,1.23E-07,0,16.61851839,4.168948262,3.341259515,6.349375318,dpf
LO-Cisco,9.0°C,1.188412189,7.266785337,0.603991185,0,0,16.24978087,4.753648756,2.415964739,6.078373148,dpf
LO-Cisco,9.0°C,0.567503703,7.613816791,0.728566824,0,0.584894527,16.80861299,2.270014812,2.914267296,7.046313088,dpf
LO-Cisco,9.0°C,0.831434507,7.094427275,0.853983046,0.022571264,1.181529926,15.95022529,3.325738029,3.415932185,6.262992767,dpf
LO-Cisco,9.0°C,1.036898796,7.411968075,1.046993626,0.246060168,3.25E-08,16.54377507,4.147595183,4.187974505,6.375069279,dpf
LO-Cisco,9.0°C,0.401130679,6.709678098,0.721311901,0.244128444,0.270648497,16.59032754,1.604522716,2.885247604,6.308547419,dpf
LO-Cisco,9.0°C,1.012647772,7.725410904,1.088791925,0,0.279642039,15.51768905,4.050591088,4.3551677,6.712763132,dpf
LO-Cisco,9.0°C,0.796806556,7.934043959,1.461223464,0,0,16.69627901,3.187226223,5.844893856,7.137237404,dpf
LO-Cisco,9.0°C,0.734034733,7.747154513,0.590333542,0.415945856,0.22581754,16.03688291,2.936138932,2.361334168,7.013119779,dpf
LO-Cisco,9.0°C,0.74260991,7.728491911,1.205639051,0,0.210854945,17.04723752,2.970439641,4.822556204,6.985882001,dpf
LO-Cisco,9.0°C,0.498341794,6.950077302,1.369080334,0.080696574,1.047133267,17.46410081,1.993367177,5.476321337,6.451735508,dpf
LO-Cisco,9.0°C,0.781916541,6.903685507,1.085929423,0,0.150923055,16.13558778,3.127666164,4.343717693,6.121768966,dpf
LO-Cisco,9.0°C,0.800994861,7.654971409,1.141487225,0.080795412,0.323260138,16.92831276,3.203979442,4.565948902,6.853976549,dpf
