"date","cross","trt","plate","plate.no","well.no","length.pix","calib.pix","length.mm"
2019-03-26,"F02M03",4.5,3,"2-3C","2-3C-6",257.34,21.83,11.7883646358223
2019-03-26,"F02M03",4.5,3,"2-3D","2-3D-5",252.04,21.83,11.5455794777829
2019-03-28,"F02M03",4.5,3,"2-3D","2-3D-1",255.57,21.4866666666667,11.8943530871859
2019-03-30,"F02M03",4.5,3,"2-3D","2-3D-2",266.68,21.6166666666667,12.3367771781033
2019-03-05,"F09M12",4.5,4,"2-4A","2-4A-4",148.32,21.58,6.87303058387396
2019-03-14,"F02M03",4.5,5,"2-5C","2-5C-3",250.93,21.4133333333333,11.718399750934
2019-03-14,"F02M03",4.5,5,"2-5C","2-5C-4",249.2,21.4133333333333,11.6376089663761
2019-03-16,"F02M03",4.5,5,"2-5D","2-5D-1",228.12,21.8833333333333,10.424371667936
2019-03-16,"F02M03",4.5,5,"2-5D","2-5D-5",243.01,21.8833333333333,11.1047981721249
2019-03-18,"F02M03",4.5,5,"2-5C","2-5C-2",259.94,21.7333333333333,11.9604294478528
2019-03-18,"F02M03",4.5,5,"2-5D","2-5D-4",253.12,21.7333333333333,11.6466257668712
2019-03-22,"F02M03",4.5,5,"2-5C","2-5C-5",244.5,21.7933333333333,11.2190272254512
2019-03-22,"F02M03",4.5,5,"2-5D","2-5D-3",253.55,21.7933333333333,11.6342918323646
2019-03-22,"F02M03",4.5,5,"2-5D","2-5D-6",244.88,21.7933333333333,11.2364637503824
2019-03-26,"F02M03",4.5,5,"2-5C","2-5C-1",263.77,21.7333333333333,12.1366564417178
2019-03-26,"F02M03",4.5,5,"2-5D","2-5D-2",271.12,21.7333333333333,12.4748466257669
2019-03-28,"F02M03",4.5,5,"2-5C","2-5C-6",262.29,21.7,12.0870967741935
2019-03-05,"F09M12",4.5,6,"2-6B","2-6B-6",202.52,21.6033333333333,9.37447924702978
2019-03-08,"F09M12",4.5,6,"2-6B","2-6B-1",167.32,21.26,7.87017873941674
2019-03-08,"F09M12",4.5,6,"2-6B","2-6B-6",207.74,21.26,9.77140169332079
