"population","temperature","sire","dam","dam.sire","block","residual","additive","nonadd","maternal","trait"
"LO-Cisco","9.0°C",87.0333964285228,653.687323191355,80.8066675963498,0,1197.19131131497,348.133585714091,323.226670385399,566.653926762832,"ADD"
"LO-Cisco","9.0°C",90.6101698965888,715.460807659715,57.0888557160522,4.25886631655859e-05,1263.77449258671,362.440679586355,228.355422864209,624.850637763126,"ADD"
"LO-Cisco","9.0°C",55.9113755926989,530.992952496699,53.5833737720455,0,1206.64292180767,223.645502370795,214.333495088182,475.081576904,"ADD"
"LO-Cisco","9.0°C",47.0556630209099,632.348948900955,84.9090809329955,0.00216523926476967,1310.74292807641,188.222652083639,339.636323731982,585.293285880045,"ADD"
"LO-Cisco","9.0°C",62.199483736155,574.823035856164,51.2677881885718,0,1237.42134877399,248.79793494462,205.071152754287,512.623552120009,"ADD"
"LO-Cisco","9.0°C",42.4462005867587,634.632227164583,68.3060200177833,63.1297543746884,1276.71439377633,169.784802347035,273.224080071133,592.186026577824,"ADD"
"LO-Cisco","9.0°C",43.924616000019,596.905576443497,118.612781396746,0,1240.55838849206,175.698464000076,474.451125586983,552.980960443478,"ADD"
"LO-Cisco","9.0°C",78.067774749765,594.952550613901,30.4842569394909,15.4076336767785,1282.64669284195,312.27109899906,121.937027757964,516.884775864136,"ADD"
"LO-Cisco","9.0°C",79.4273851312719,551.74293959512,101.491454376965,19.1362048294439,1308.1480269131,317.709540525088,405.965817507859,472.315554463848,"ADD"
"LO-Cisco","9.0°C",43.3957942479188,549.442863267623,83.9402101265252,41.5788846969347,1289.04922205258,173.583176991675,335.760840506101,506.047069019704,"ADD"
"LO-Cisco","9.0°C",68.3053292491944,572.684199054195,22.1594031189973,36.5381891107558,1279.40412524427,273.221316996778,88.637612475989,504.378869805,"ADD"
"LO-Cisco","9.0°C",48.4555822738217,634.37300825197,69.6624794761733,0,1319.59357952657,193.822329095287,278.649917904693,585.917425978149,"ADD"
"LO-Cisco","9.0°C",62.6041720161818,541.992012472436,54.1281023493852,0,1291.66018870409,250.416688064727,216.512409397541,479.387840456254,"ADD"
"LO-Cisco","9.0°C",77.0740319727407,600.333180593335,93.6729218668045,0,1318.31661220949,308.296127890963,374.691687467218,523.259148620594,"ADD"
"LO-Cisco","9.0°C",65.3510871937354,581.579979456879,86.1720905602582,35.462723967501,1281.35819238011,261.404348774941,344.688362241033,516.228892263144,"ADD"
"LO-Cisco","9.0°C",43.1697359316796,622.906860288196,58.4947528227262,0.0370353749520939,1199.90999226511,172.678943726718,233.979011290905,579.737124356516,"ADD"
"LO-Cisco","9.0°C",59.0417173030091,560.701639747512,150.462366737483,25.048110380506,1291.88619887696,236.166869212036,601.84946694993,501.659922444503,"ADD"
"LO-Cisco","9.0°C",41.3801811802066,591.635603474145,71.74469716219,31.7004397581639,1297.33575309017,165.520724720826,286.97878864876,550.255422293938,"ADD"
"LO-Cisco","9.0°C",58.0341759451905,527.965815338461,95.5561864383653,57.3497929193056,1243.76152646924,232.136703780762,382.224745753461,469.93163939327,"ADD"
"LO-Cisco","9.0°C",66.5207330285872,599.844406045424,88.430691337372,0,1328.4252026351,266.082932114349,353.722765349488,533.323673016837,"ADD"
"LO-Cisco","9.0°C",42.7012838625128,523.162932174134,92.5085006863116,9.33220311999541,1248.59199192987,170.805135450051,370.034002745247,480.461648311621,"ADD"
"LO-Cisco","9.0°C",62.8631845482058,595.678052718156,42.7331151370019,0.00035980631070968,1227.784571584,251.452738192823,170.932460548008,532.81486816995,"ADD"
"LO-Cisco","9.0°C",44.4949133563671,698.933369937819,78.9106489555048,27.584810916619,1239.90183773906,177.979653425468,315.642595822019,654.438456581452,"ADD"
"LO-Cisco","9.0°C",58.5058586682694,558.885364169879,141.661749873466,0.000125743252985089,1299.5786368549,234.023434673078,566.646999493864,500.37950550161,"ADD"
"LO-Cisco","9.0°C",56.8950383202756,458.568348459918,53.7755519362743,40.5279494830071,1314.78101776373,227.580153281102,215.102207745097,401.673310139642,"ADD"
"LO-Cisco","9.0°C",64.81872415765,600.363587752251,67.3594776451859,1.35614186773658e-05,1265.5327878925,259.2748966306,269.437910580744,535.544863594601,"ADD"
"LO-Cisco","9.0°C",82.2837183724894,597.475689063458,97.4583548645908,0,1272.33642696057,329.134873489957,389.833419458363,515.191970690968,"ADD"
"LO-Cisco","9.0°C",64.5961613504604,557.02764368276,83.1676465272888,1.04360059986565e-05,1276.71785128858,258.384645401842,332.670586109155,492.4314823323,"ADD"
"LO-Cisco","9.0°C",94.3072263752141,604.96658111759,96.98211436715,4.36331002795115,1239.51790747509,377.228905500856,387.9284574686,510.659354742376,"ADD"
"LO-Cisco","9.0°C",107.479410827703,630.135995326354,64.6072851755821,8.20119794633863e-07,1240.32576103357,429.917643310811,258.429140702328,522.656584498651,"ADD"
"LO-Cisco","9.0°C",60.9311386859878,609.077338835849,44.220725619225,13.0962425938749,1281.92293197604,243.724554743951,176.8829024769,548.146200149861,"ADD"
"LO-Cisco","9.0°C",53.2193340884155,710.251701722235,68.815397752624,0.133710329529268,1236.93435928626,212.877336353662,275.261591010496,657.032367633819,"ADD"
"LO-Cisco","9.0°C",90.1409346968719,557.287989082932,35.537823080801,83.1291932800402,1291.29676225998,360.563738787488,142.151292323204,467.14705438606,"ADD"
"LO-Cisco","9.0°C",61.0853788291368,635.830096402835,105.544121123056,0.993843634798096,1259.75796616908,244.341515316547,422.176484492223,574.744717573699,"ADD"
"LO-Cisco","9.0°C",68.8934821739864,628.675922059352,79.6896954739092,0.000194685991044155,1216.92338630387,275.573928695946,318.758781895637,559.782439885366,"ADD"
"LO-Cisco","9.0°C",60.4947709800053,606.636675366866,43.3763410296219,1.41598407502185e-05,1254.1625590893,241.979083920021,173.505364118488,546.141904386861,"ADD"
"LO-Cisco","9.0°C",88.0585628187625,607.236619098577,79.4032503303689,0.000159450895896007,1228.38551406415,352.23425127505,317.613001321476,519.178056279814,"ADD"
"LO-Cisco","9.0°C",65.5831915622729,652.795773119238,12.4133911604111,7.95148814671163e-05,1329.80239343328,262.332766249092,49.6535646416443,587.212581556965,"ADD"
"LO-Cisco","9.0°C",49.6492071100598,551.355586205234,40.7399531461017,1.0366616492071e-10,1286.16038146844,198.596828440239,162.959812584407,501.706379095174,"ADD"
"LO-Cisco","9.0°C",67.1915415674596,604.348454088755,65.7311187046367,5.00376239306683e-05,1294.9452150316,268.766166269838,262.924474818547,537.156912521295,"ADD"
"LO-Cisco","9.0°C",63.4470231380639,625.480658648079,47.7632650783113,3.21330325950129,1270.8869586996,253.788092552256,191.053060313245,562.033635510015,"ADD"
"LO-Cisco","9.0°C",38.3482279963849,566.370807245104,69.3856176369746,0.000423169122446989,1254.80294002715,153.392911985539,277.542470547898,528.022579248719,"ADD"
"LO-Cisco","9.0°C",88.6290879336065,593.152446795393,70.1654439574131,54.2332255234151,1249.59335733138,354.516351734426,280.661775829653,504.523358861786,"ADD"
"LO-Cisco","9.0°C",37.1846723210644,640.100019542947,74.8593722450503,0,1319.63636577049,148.738689284258,299.437488980201,602.915347221883,"ADD"
"LO-Cisco","9.0°C",59.4154857535894,568.624162279764,74.6111971989838,16.9752450776587,1228.81123563254,237.661943014358,298.444788795935,509.208676526174,"ADD"
"LO-Cisco","9.0°C",95.7105865056104,716.269552885914,41.0207650444654,0,1227.95017858966,382.842346022442,164.083060177862,620.558966380304,"ADD"
"LO-Cisco","9.0°C",60.1716178864188,610.516840674342,59.3357920156038,31.9002225672923,1290.36120705999,240.686471545675,237.343168062415,550.345222787923,"ADD"
"LO-Cisco","9.0°C",35.0133778461951,616.18762762182,84.0306010163216,0,1209.87235641817,140.05351138478,336.122404065287,581.174249775624,"ADD"
"LO-Cisco","9.0°C",78.4522571014396,641.9965697285,92.4641161567116,0,1229.28779823924,313.809028405759,369.856464626846,563.54431262706,"ADD"
"LO-Cisco","9.0°C",104.653022051929,595.68633019638,37.2561115021464,0.0212515678980821,1310.75861384696,418.612088207717,149.024446008586,491.033308144451,"ADD"
"LO-Cisco","9.0°C",20.0610654051243,684.910784824315,159.348064871257,1.60851718955284e-05,1239.53639498136,80.244261620497,637.392259485029,664.849719419191,"ADD"
